ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
262,Burnsville,Park,2021,EVHS22,30,Park,95,Middle,3,2,6,1,3-4,Slot,Right,Boot Pass,Unknown,Middle - Right,Zone 4,1,1,0,5,-99,,10.0,5.045,9.5,4.0,false,26,EVHS22,1,2,2,/Dev
159,Burnsville,Park,2021,EVHS22,30,Park,95,Middle,3,2,6,1,3-4,Slot,Right,Boot Pass,Unknown,Middle - Right,Zone 4,1,1,0,5,-99,,10.0,5.045,9.5,4.0,false,26,EVHS22,1,2,2,/Dev
263,Burnsville,Park,2021,EVHS22,31,Burnsville,20,Middle,1,10,7,1,4-3,Twins,Left,Outside Run,Left,Non Passing Play,Man 1,0,1,0,1,-99,,2.1,5.045,2.0,4.0,false,23,EVHS22,2,1,2,/Dev
160,Burnsville,Park,2021,EVHS22,31,Burnsville,20,Middle,1,10,7,1,4-3,Twins,Left,Outside Run,Left,Non Passing Play,Man 1,0,1,0,1,-99,,2.1,5.045,2.0,4.0,false,23,EVHS22,2,1,2,/Dev
264,Burnsville,Park,2021,EVHS22,32,Burnsville,21,Left,2,9,7,1,4-3,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,0,-99,,2.1,5.045,2.1,5.045,false,22,EVHS22,2,1,2,/Dev
161,Burnsville,Park,2021,EVHS22,32,Burnsville,21,Left,2,9,7,1,4-3,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,0,-99,,2.1,5.045,2.1,5.045,false,22,EVHS22,2,1,2,/Dev
265,Burnsville,Park,2021,EVHS22,33,Park,79,Right,1,10,8,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 4,0,0,0,-1,-99,,7.8,5.045,7.9,6.0,false,18,EVHS22,4,0,1,/Dev
162,Burnsville,Park,2021,EVHS22,33,Park,79,Right,1,10,8,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 4,0,0,0,-1,-99,,7.8,5.045,7.9,6.0,false,18,EVHS22,4,0,1,/Dev
266,Burnsville,Park,2021,EVHS22,34,Park,78,Left,2,11,8,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Flats - Right,Zone 4,0,0,0,4,-99,,8.2,5.045,7.8,5.045,false,19,EVHS22,4,0,1,/Dev
163,Burnsville,Park,2021,EVHS22,34,Park,78,Left,2,11,8,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Flats - Right,Zone 4,0,0,0,4,-99,,8.2,5.045,7.8,5.045,false,19,EVHS22,4,0,1,/Dev
267,Burnsville,Park,2021,EVHS22,35,Park,82,Right,3,7,8,1,3-4,Triangle,Right,Inside Run,Left,Non Passing Play,Zone 3,0,0,0,-2,-99,,8.0,5.045,8.2,6.0,false,14,EVHS22,4,0,1,/Dev
164,Burnsville,Park,2021,EVHS22,35,Park,82,Right,3,7,8,1,3-4,Triangle,Right,Inside Run,Left,Non Passing Play,Zone 3,0,0,0,-2,-99,,8.0,5.045,8.2,6.0,false,14,EVHS22,4,0,1,/Dev
268,Burnsville,Park,2021,EVHS22,36,Park,80,Middle,4,9,8,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Deep - Right,Zone 3,0,0,0,20,-99,,10.0,5.045,8.0,4.0,false,19,EVHS22,4,0,1,/Dev
165,Burnsville,Park,2021,EVHS22,36,Park,80,Middle,4,9,8,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Deep - Right,Zone 3,0,0,0,20,-99,,10.0,5.045,8.0,4.0,false,19,EVHS22,4,0,1,/Dev
166,Burnsville,Park,2021,EVHS22,37,Burnsville,35,Left,1,10,9,1,4-3,Twins,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,0,-99,,3.5,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
269,Burnsville,Park,2021,EVHS22,37,Burnsville,35,Left,1,10,9,1,4-3,Twins,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,0,-99,,3.5,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
